System,Outage,Midpoint,Unit,Materials & Mfg,Transport,Use,End-of-Life
Sand Battery,Rare,Mineral resource scarcity,Pt,0.16860774,0.0004159,0.000421075,1.87E-06
Sand Battery,Rare,Fossil resource scarcity,Pt,0.70733453,0.10065438,0.002212916,0.000643112
Sand Battery,Rare,"Water consumption, Human health",Pt,0.76816784,0.005018399,0.000846803,1.15E-05
Sand Battery,Rare,"Water consumption, Terrestrial ecosystem",Pt,0.078350666,0.00056508,0.000657218,1.45E-06
Sand Battery,Rare,"Water consumption, Aquatic ecosystems",Pt,6.07E-06,6.46E-08,9.61E-09,2.44E-10
BESS,Rare,"Global warming, Human health",Pt,230.20927,4.8677974,0,5.84E-02
BESS,Rare,"Global warming, Terrestrial ecosystems",Pt,11.262785,0.23814749,0,2.85E-03
BESS,Rare,"Global warming, Freshwater ecosystems",Pt,3.08E-04,6.50E-06,0,7.80E-08
BESS,Rare,Stratospheric ozone depletion,Pt,6.36E-02,8.46E-04,0,1.18E-05
BESS,Rare,Ionizing radiation,Pt,0.26112239,3.49E-04,0,2.73E-06
BESS,Rare,"Ozone formation, Human health",Pt,0.6582009,5.74E-02,0,5.93E-04
BESS,Rare,Fine particulate matter formation,Pt,631.27332,11.395657,0,9.23E-02
BESS,Rare,"Ozone formation, Terrestrial ecosystems",Pt,1.5746426,0.13446124,0,1.40E-03
BESS,Rare,Terrestrial acidification,Pt,9.6445613,0.18145091,0,9.83E-04
BESS,Rare,Freshwater eutrophication,Pt,2.755372,4.51E-03,0,4.28E-05
BESS,Rare,Marine eutrophication,Pt,1.01E-03,1.50E-06,0,1.52E-08
BESS,Rare,Terrestrial ecotoxicity,Pt,1.9716641,1.96E-02,0,1.01E-04
BESS,Rare,Freshwater ecotoxicity,Pt,1.3695908,1.06E-03,0,4.69E-06
BESS,Rare,Marine ecotoxicity,Pt,0.27080703,3.58E-04,0,1.96E-06
BESS,Rare,Human carcinogenic toxicity,Pt,251.60629,2.8823204,0,2.82E-02
BESS,Rare,Human non-carcinogenic toxicity,Pt,497.48423,0.60241806,0,1.85E-03
BESS,Rare,Land use,Pt,1.7189051,3.25E-02,0,-3.12E-03
BESS,Rare,Mineral resource scarcity,Pt,2.6663789,1.16E-03,0,9.62E-06
BESS,Rare,Fossil resource scarcity,Pt,9.314964,0.29051521,0,3.31E-03
BESS,Rare,"Water consumption, Human health",Pt,27.31427,1.08E-02,0,5.91E-05
BESS,Rare,"Water consumption, Terrestrial ecosystem",Pt,2.726608,1.23E-03,0,7.45E-06
BESS,Rare,"Water consumption, Aquatic ecosystems",Pt,1.44E-04,1.48E-07,0,1.26E-09
Propane,Rare,"Global warming, Human health",Pt,34.357795,1.0794558,100.83413,3.33E-02
Propane,Rare,"Global warming, Terrestrial ecosystems",Pt,1.6811981,5.28E-02,4.9332759,1.63E-03
Propane,Rare,"Global warming, Freshwater ecosystems",Pt,4.59E-05,1.44E-06,1.35E-04,4.45E-08
Propane,Rare,Stratospheric ozone depletion,Pt,6.23E-03,9.17E-05,4.71E-03,6.46E-06
Propane,Rare,Ionizing radiation,Pt,1.67E-02,9.42E-05,9.27E-03,2.70E-06
Propane,Rare,"Ozone formation, Human health",Pt,9.80E-02,6.44E-03,0.1861296,2.98E-04
Propane,Rare,Fine particulate matter formation,Pt,84.386572,0.98411105,38.27616,4.91E-02
Propane,Rare,"Ozone formation, Terrestrial ecosystems",Pt,0.24047056,1.53E-02,0.4601423,7.04E-04
Propane,Rare,Terrestrial acidification,Pt,1.0167681,1.22E-02,0.45069257,5.48E-04
Propane,Rare,Freshwater eutrophication,Pt,0.30908806,1.39E-03,0.10325898,5.15E-05
Propane,Rare,Marine eutrophication,Pt,4.05E-05,3.78E-07,3.25E-05,1.20E-08
Propane,Rare,Terrestrial ecotoxicity,Pt,0.55430928,5.54E-03,0.20381156,5.70E-05
Propane,Rare,Freshwater ecotoxicity,Pt,0.19363846,3.47E-04,1.86E-02,3.52E-06
Propane,Rare,Marine ecotoxicity,Pt,4.22E-02,1.09E-04,5.79E-03,1.34E-06
Propane,Rare,Human carcinogenic toxicity,Pt,1274.4843,0.70588997,65.850461,1.53E-02
Propane,Rare,Human non-carcinogenic toxicity,Pt,54.36663,0.22201421,6.343603,1.92E-03
Propane,Rare,Land use,Pt,0.31467652,7.42E-03,0.13063437,-5.20E-04
Propane,Rare,Mineral resource scarcity,Pt,0.20417503,3.00E-04,2.60E-02,5.04E-06
